timestamp_utc,asset,price,top_call_strike,top_call_vol,top_put_strike,top_put_vol
2026-07-28T03:13:35Z,gold,4042.2,4100,90,4050,46
2026-07-28T03:13:35Z,oil,80.76,82,165,76.5,34
2026-07-28T03:13:35Z,es,7430.5,7500,637,7400,691
2026-07-28T03:20:01Z,gold,4045.6,4100,90,4050,46
2026-07-28T03:20:01Z,oil,80.8,82,165,76.5,34
2026-07-28T03:20:01Z,es,7426,7500,637,7350,785
2026-07-28T03:26:24Z,gold,4046.2,4100,90,4050,46
2026-07-28T03:26:24Z,oil,80.96,82,165,76.5,34
2026-07-28T03:26:24Z,es,7424.75,7500,644,7350,1181
2026-07-28T03:32:47Z,gold,4047.9,4100,90,4050,46
2026-07-28T03:32:47Z,oil,81.16,82,165,76.5,34
2026-07-28T03:32:47Z,es,7434.5,7500,658,7350,1183
